keys,fr
USER_DISCONNECTED,Déconnecté
VERIFIED_HINT,Les jeux vérifiés afficheront un titre et une icône en fonction de la région sélectionnée.
VERIFIED_TITLE,Jeux vérifiés
Cut,Couper
Copy,Copier
Paste,Coller
Select All,Tout selectionner
Clear,Supprimer
Undo,Annuler
Redo,Rétablir
